"Account ID","Account Name","Website Domain Text"
"0012A00002BnQhr","Samsara","samsara.com"
"0012A00002Bmn6e","Finicity, a Mastercard Company","finicity.com"
"0013j000037iTBR","BYD North America","byd.com"
"0012A00002Z1c2W","MBTA","mbta.com"
"0012A00002J7xrE","International Committee of the Red Cross - ICRC","icrc.org"
"001F0000010dToQ","Teksystems, Inc.","teksystems.com"
"0012A00002YJbEc","State of Colorado","colorado.gov"
"0013j00003GV5WA","Mondi PLC","mondigroup.com"
"001VK000005Mrve","Extu","extu.com"
"001A000000Yzcna","Macy's Stores","macysinc.com"
"001F000000xhdOj","Sprout Social, Inc.","sproutsocial.com"
"001F0000010dTX5","Flir Systems","flir.com"
"001F000001o3hku","MotivAction, LLC","motivaction.academy"
"0013j000031w23U","Digital Currency Group","dcg.co"
"001VK00000guDYj","Cascade Comprehensive Care","cascadehealthalliance.com"
"001VK00000197eQ","eComID","ecomid.com"
"0013j000034s5O8","Ooni","ooni.com"
"001F000001teBuS","Hella","hella.com"
"001VK000003st7b","Massachusetts Medicaid","mass.gov"
"0013j00002mcYYL","Mo","mo.work"
"001VK00000cjSQY","huish outdoors","huishoutdoors.com"
"001VK00000igU8X","rockfon","rockfon.com"
"001F000001teBtg","Colruyt Group","colruytgroup.com"
"001F0000018jKQ3","Clari","clari.com"
"001F0000012gDsB","Elekta","elekta.com"
"0013j00002yZIzh","Material Security","material.security"
"001F0000010dSzB","Cresta","cresta.com"
"0012A00002Z28LD","Airbase","airbase.com"
"0013j00002cUML7","Aiven","aiven.io"
"0012A00002SDCf6","Ribbon Communications","ribboncommunications.com"
"001VK00000VBdgv","PetSmart","petsmart.com"
"001VK000003qcfN","Sommita","sommita.net"
"0012A00002Bn0cT","POWER Engineers","powereng.com"
"0013j000037iIqt","MLB","mariners.com"
"0013j00002mckPT","Renesas Electronics Corporation","renesas.com"
"0012A00002IhNHm","Incyte","incyte.com"
"0012A00002Bn0gx","Rittal GmbH & Co. KG","rittal.com"
"0012A00002Z1cAj","Eversource Energy","eversource.com"
"0013j00002mcexD","Town of Seekonk","seekonk-ma.gov"
"0013j00003AMRFu","Miami-Dade Police Department","miamidade.gov"
"0012A00002Z27Qx","Thinkful","thinkful.com"
"0013j00002ybXNb","SGI","sgi-usa.org"
"001VK000007lcHY","PULS Nutrition","pulsnutrition.com"
"0012A000021HdJm","Red Bull Media House","redbullmediahouse.com"
"001F000001Ha1Tc","Algolia","algolia.com"
"001F000001qOwmb","SharkNinja","sharkninja.com"
"0012A00002ZcmOT","TriMet","trimet.org"
"0013j000031vzAd","Rohlik Group","rohlik.group"
"0012A00002ZpJ9B","Illinois Institute of Technology","iit.edu"
"0012A00002Z1aya","U.S. Environmental Protection Agency","epa.gov"
"0013j00003ALNVl","BloXroute Labs","bloxroute.com"
"0013j000037iIOQ","Visionet Systems Inc.","visionet.com"
"0013j00002mc9QQ","Harrisonburg VA","harrisonburgva.gov"
"001F000000hUJiH","J.Crew","jcrew.com"
"001F0000010dTey","Microchip Technology Inc.","microchip.com"
"0012A00002T8Fs1","Naturgy","naturgy.com"
"0013j000034rgnY","ILIA Beauty","iliabeauty.com"
"0012A00002WyYGh","CoreLogic","corelogic.com"
"0013j00002yau1k","InfStones","infstones.com"
"0012A00002U0xTE","BeiGene","beigene.com"
"0013j00002yaGXk","Snapchat","snapchat.com"
"0012A00001vZx9u","Symphony.com","symphony.com"
"001VK00000Up8Tj","Ryght AI","ryght.ai"
"0013j00003GWn6i","TLDV","tldv.io"
"001VK00000Z0PBy","Saatchi & Saatchi","saatchi.com"
"001F0000017GNFy","Simplilearn","simplilearn.com"
"0013j00002ybY6T","Illinois Department of Human Services","state.il.us"
"001VK000002nAtB","Danfoss Editron","axcomotors.com"
"001F0000017GMLa","ESAB","esab.com"
"001VK00000VNKU1","Transunion","transunion.com"
"001F000000pWHcW","Valero","valero.com"
"0013j00002cTIE4","Carsome","carsome.my"
"0012A00002MnE3q","SANA Hotels","sanahotels.com"
"0013j00002yacZO","Lucca","lucca-software.com"
"0013j00003GV6XN","AXA","axa.com"
"0012A00002VtjLl","BitFinex","bitfinex.com"
"0012A00002TYaui","Opel","opel.com"
"0012A000021J45e","Chantecaille Beauté","chantecaille.com"
"0013j00002yaWVt","Famly","famly.co"
"0012A000021J4GP","Advanced","oneadvanced.com"
"0013j000037iK78","Storytel","storytel.com"
"001VK00000OQ6nG","Foot Locker EMEA","footlocker.nl"
"001F000000g9mQC","YipitData","yipit.com"
"0012A00002Z1bBd","Hiya Inc.","hiya.com"
"0012A00001vZKjq","Nokian Tyres plc","nokiantyres.com"
"001VK000007vn9C","Opter","opter.com"
"0012A00002WywkS","Ironclad","ironcladapp.com"
"0013j00002mc7Ps","MagiCAD","magicad.com"
"001F0000010dTaj","Capgemini","capgemini.com"
"0013j00003ALmR7","Salience Learning","saliencelearning.com"
"0013j000037iKeL","RaySafe","raysafe.com"
"0013j00002ybyPu","Mavic","mavic.com"
"0012A00001vaMub","Social Native","socialnative.com"
"001A000000axlSl","Live Nation","livenation.com"
"0013j00002bA90s","Veepee","veepee.com"
"0012A00002WaoO5","Guideline","guideline.com"
"0013j00003Jpqfg","Ellab - Validation & Monitoring Solutions","ellab.com"
"0013j00003ALmJg","AJ Vaccines","ajvaccines.com"
"0012A000021IOk6","Sanofi","sanofi.com"
"001VK00000R4oV0","Bodil","bodil.io"
"001VK00000LrXrP","VDH","vdh.virginia.gov"
"0012A00001vZf8H","Tubi","tubitv.com"
"001F000000fZGK0","Southwest Airlines","southwest.com"
"0013j00002yby4A","TUI Cruises","tuicruises.com"
"001F000000pXpir","Ubisoft","ubisoft.com"
"0012A00002TVzvM","Boggi Milano","boggi.com"
"001VK00000gpvX8","Coca-Cola Europacific Partners","ccep.com"
"0012A000021JYJm","Knight Frank","knightfrank.com"
"001F0000010dTS6","Chesapeake Energy","expandenergy.com"
"0012A000021JYEc","CGS (Computer Generated Solutions)","cgsinc.com"
"0013j000034rNXL","Penny AI","pennyapp.com"
"001F0000017GLx9","Ensco International Incorporated","ensco.com"
"0013j00002meP4b","Veikkaus Oy","veikkaus.fi"
"001A000000eRSwd","Blue Nile","bluenile.com"
"0012A000021JYFZ","Groupe SEB","groupeseb.com"
"0012A000021IXHa","Marimekko","marimekko.com"
"0013j000031vowu","dYdX","dydx.exchange"
"001F000001GMow0","Benetton","benettongroup.com"
"0012A000021K3k5","CMA CGM","cma-cgm.com"
"0013j00003ANxYg","Jamie Health","jamiehealth.com"
"001A000000aFUeF","Bentley Systems","bentley.com"
"0013j00002bCbCZ","Altec","altec.com"
"0013j00002bCb7R","Stampli","stampli.com"
"001VK00000Gatpb","Access Development","accessdevelopment.com"
"001VK00000kHoqn","DAQA","daqa.net"
"0013j00003GUxbL","Dabadu","dabadu.ai"
"001F0000011pIQx","Benefit Cosmetics","benefitcosmetics.com"
"001F000000xhyAE","Mimecast","mimecast.com"
"001F0000010dTM9","Acer","acer.com"
"0012A00001vaMt4","Royal Enfield","royalenfield.com"
"0012A0000283Mlr","Casio USA","casio.com"
